Variable,Year,Value,D_f,K_i,Source,DOI_URL
DBD_g_cm3,2020,{1.13},2.41,0.596,WoSIS 2024,doi:10.17027/isric-wosis.dbd1.13
DBD_g_cm3,2020,{1.46},2.41,0.596,WoSIS 2024,doi:10.17027/isric-wosis.dbd1.13
DBD_g_cm3,2020,{1.46},2.41,0.596,WoSIS 2024,doi:10.17027/isric-wosis.dbd1.13
DBD_g_cm3,2020,{1.54},2.41,0.596,WoSIS 2024,doi:10.17027/isric-wosis.dbd1.13
DBD_g_cm3,2020,{1.47},2.41,0.596,WoSIS 2024,doi:10.17027/isric-wosis.dbd1.13
DBD_g_cm3,2020,{1.29},2.41,0.596,WoSIS 2024,doi:10.17027/isric-wosis.dbd1.13
DBD_g_cm3,2020,{1.41},2.41,0.596,WoSIS 2024,doi:10.17027/isric-wosis.dbd1.13
